item_code,brand,item_GTIN,product_group_code,item_description,description2,description3,unit,item_status,item_condition,abc_class,FLC_page_no,internet_flag,internet_tree,new_internet_tree,reorder_policy,standard_cost,replacement_cost,sales_cost,region,price0exGST,qty_break1,price1exGST,qty_break2,price2exGST,qty_break3,price3exGST,qty_break4,price4exGST,whse,bin_loc,on_hand,current_orders,back_orders,on_order,minimum_stock,maximum_stock,avg_mth_demand,avg_cost,supplier,supplier_item,priority,unit1,conv_factor,pack_qty,EOQ,last_buy_date,last_buy_price,tax_code
492697,ACO,2004912,1120,"MARBIG A4 LETTER FILES","GLASS CLEAR PK10",,PACK,S,,8,,,,,Y,0,0,0,,8.58,10,8.31,20,7.85,30,7.1,99999999,8.58,JAY,ZZZZ,0,0,0,0,0,0,0,3.3,DOR,,9,PACK,1,1,1,2015-10-13,7.32,
492697,ACO,2004912,1120,"MARBIG A4 LETTER FILES","GLASS CLEAR PK10",,PACK,S,,8,,,,,Y,0,0,0,,8.58,10,8.31,20,7.85,30,7.1,99999999,8.58,JAY,ZZZZ,0,0,0,0,0,0,0,3.3,GNS,12363,1,PACK,1,1,1,2017-11-24,3.49,
492703,ACO,2007028,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 DARK GREEN",,EACH,S,,8,,,,1A01,1,0,0,0,,2.57,12,2.34,24,2.23,48,2.11,999999999,2.11,JAY,ZZZZ,0,0,0,0,0,0,0,0.81,ACO,2007028,9,EACH,1,12,12,2012-12-04,1.24,
492703,ACO,2007028,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 DARK GREEN",,EACH,S,,8,,,,1A01,1,0,0,0,,2.57,12,2.34,24,2.23,48,2.11,999999999,2.11,JAY,ZZZZ,0,0,0,0,0,0,0,0.81,CJO,,9,EACH,1,1,1,2013-10-11,1.09,
492704,ACO,2007099,1120,"BOOK DISPLAY A4 REFILLABLE","20 POCKET ASSORTED",,EACH,S,,8,,Y,,3001,1,0,0,0,,2.75,12,2.55,24,2.55,48,2.26,96,2.1,JAY,ZZZZ,0,0,0,0,0,0,0,1.24,ACO,2007099,1,EACH,1,1,1,1899-12-31,1.24,
492704,ACO,2007099,1120,"BOOK DISPLAY A4 REFILLABLE","20 POCKET ASSORTED",,EACH,S,,8,,Y,,3001,1,0,0,0,,2.75,12,2.55,24,2.55,48,2.26,96,2.1,JAY,ZZZZ,0,0,0,0,0,0,0,1.24,GNS,,9,PACK,1,1,1,2018-11-19,6.95,
492705,ACO,2007299,1120,"MARBIG CLEAR FRONT REFILLABLE","DISPLAY BOOK A4 ASSORT COLOURS",,EACH,S,,6,,Y,8P051Z02,3003,1,0,0,0,,2.76,12,2.5,24,2.38,48,2.24,999999999,2.24,JAY,DG23,6,0,0,0,2.982,5.964,3,1.48,ACO,2007299,1,EACH,1,12,12,2018-04-11,1.32,
492705,ACO,2007299,1120,"MARBIG CLEAR FRONT REFILLABLE","DISPLAY BOOK A4 ASSORT COLOURS",,EACH,S,,6,,Y,8P051Z02,3003,1,0,0,0,,2.76,12,2.5,24,2.38,48,2.24,999999999,2.24,JAY,DG23,6,0,0,0,2.982,5.964,3,1.48,SSS,"ASSORTED 20072",9,EACH,1,1,1,2018-09-25,1.5,
492706,ACO,2007401,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET BLUE",,EACH,S,,8,,N,,3001,Y,0,0,0,,6.08,12,5.48,24,4.98,48,4.56,99999999,6.08,JAY,ZZZZ,0,0,0,0,0,0,0.0833,3.1,ACO,2007401,9,EACH,1,12,12,1899-12-31,2.9,
492706,ACO,2007401,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET BLUE",,EACH,S,,8,,N,,3001,Y,0,0,0,,6.08,12,5.48,24,4.98,48,4.56,99999999,6.08,JAY,ZZZZ,0,0,0,0,0,0,0.0833,3.1,SSS,10102438,1,EACH,1,1,1,2018-01-02,3.1,
492707,ACO,2007402,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET BLACK",,EACH,S,,8,,N,,3001,Y,0,0,0,,6.08,12,5.48,24,4.98,48,4.56,99999999,6.08,JAY,DG46,2,0,0,0,0,0,0,3.1,ACO,2007402,9,EACH,1,12,12,1899-12-31,2.9,
492707,ACO,2007402,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET BLACK",,EACH,S,,8,,N,,3001,Y,0,0,0,,6.08,12,5.48,24,4.98,48,4.56,99999999,6.08,JAY,DG46,2,0,0,0,0,0,0,3.1,GNS,42110,9,EACH,1,1,1,1899-12-31,3.3,
492707,ACO,2007402,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET BLACK",,EACH,S,,8,,N,,3001,Y,0,0,0,,6.08,12,5.48,24,4.98,48,4.56,99999999,6.08,JAY,DG46,2,0,0,0,0,0,0,3.1,SSS,10102439,1,EACH,1,1,1,2017-01-03,3.1,
492708,ACO,2007403,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET RED",,EACH,S,,8,,,,3001,Y,0,0,0,,5.45,2,5.35,4,5.18,8,4.91,99999999,5.45,JAY,ZZZZ,0,0,0,0,0,0,0.2222,2.9,ACO,2007403,1,EACH,1,12,12,1899-12-31,2.9,
492709,ACO,2007404,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET GREEN",,EACH,S,,8,,,,3001,Y,0,0,0,,5.45,2,5.35,4,5.18,8,4.91,99999999,5.45,JAY,ZZZZ,0,0,0,0,0,0,0.2222,2.9,ACO,2007404,1,EACH,1,12,12,1899-12-31,2.9,
492710,ACO,2007405,1120,"MARBIG REFILLABLE DISPLAY BOOK","A4 40 POCKET YELLOW",,EACH,S,,8,,,,3001,Y,0,0,0,,5.45,2,5.35,4,5.18,8,4.91,99999999,5.45,JAY,ZZZZ,0,0,0,0,0,0,0.1667,2.9,ACO,2007405,1,EACH,1,12,12,1899-12-31,2.9,
492713,ACO,20081P,1120,"MARBIG REFILLS FOR DISPLAY","BOOK A4 PK100",,PACK,S,,8,999,,,,Y,0,0,0,,6.18,99999999,6.18,99999999,6.18,99999999,6.18,99999999,6.18,JAY,JB18,4,0,0,0,0,0,0.1667,4.02,ACO,20081P,1,PACK,1,8,8,2017-11-08,4.25,
492713,ACO,20081P,1120,"MARBIG REFILLS FOR DISPLAY","BOOK A4 PK100",,PACK,S,,8,999,,,,Y,0,0,0,,6.18,99999999,6.18,99999999,6.18,99999999,6.18,99999999,6.18,JAY,JB18,4,0,0,0,0,0,0.1667,4.02,GNS,33568,9,PACK,1,1,1,2015-02-18,4.05,
